DISTRICT-WISE REPORTED CASES UNDER VARIOUS HEADS FOR THE MONTH OF APRIL - 2025 (AS ON 02/05/2025),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sl.
No.",Crime Head,"to
k
la
ga
B","ira
lla
B","ytiC
iva
ga
le
B","tsiD
iva
ga
le
B","ytic
u
ru
la
gn
e
B","tcirtsiD
u
ru
la
gn
e
B","ra
d
iB","ra
ga
n
a
ja
ra
m
a
h
C","a
ru
p
a
lla
b
k
cih
C","u
ru
la
ga
m
a
kk
ih
C","a
g
ru
d
a
rtih
C","a
d
a
n
n
a
k
a
n
ih
sk
a
D","e
re
ga
n
a
va
D","d
a
w
ra
h
D","ga
d
a
G","n
a
ssa
H","ire
va
H","ytiC
d
a
w
ra
h
D
illa
b
b
u
H","F.G
.K","iga
ru
b
a
la
K","ytiC
iga
ru
b
a
la
K","sya
w
lia
R
a
k
a
ta
n
ra
K","u
ga
d
o
K","ra
lo
K","la
p
p
o
K","a
yd
n
a
M","ytiC
u
ro
o
la
gn
a
M","ytiC
u
ru
syM","tcirtsiD
u
ru
syM","ru
h
cia
R","a
ra
ga
n
a
m
a
R","a
g
g
o
m
a
v
ih
S","u
ru
k
a
m
u
T","ip
u
d
U","a
d
a
n
n
a
k
a
ra
ttU","a
ra
ga
n
a
ya
jiV","ru
p
a
ya
jiV","rigd
a
Y","la
to
T"
8,Spl & Local laws,107,149,38,213,1080,172,194,77,223,101,156,16,119,41,81,117,90,204,31,49,65,14,50,45,89,87,121,44,118,135,79,174,224,53,105,108,219,94,5082
9a,"RAPE (Sec.376,
376(A) to 376
(D) IPC/64 TO
71 BNS)",2,0,0,1,23,2,1,5,0,4,4,0,1,0,1,2,2,2,2,3,2,0,1,1,2,1,2,0,0,1,1,1,4,2,0,3,1,2,79
9b,DOWRY DEATHS,0,0,0,1,4,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,15
10,POCSO,2,6,2,12,47,9,3,8,14,7,14,4,5,3,7,8,11,6,1,6,2,0,11,7,3,6,4,5,13,4,8,18,12,7,7,7,8,12,309
11,SC ST & POA Act,6,3,2,7,21,4,5,4,4,8,2,2,9,3,5,10,7,4,1,5,1,0,4,3,3,2,1,0,2,7,6,16,5,7,3,2,5,7,186
12a,107 Cr.P.C.,32,59,82,279,124,38,77,35,25,77,70,102,100,88,52,50,51,12,0,52,134,0,134,14,30,20,226,10,153,72,19,98,131,46,149,102,60,32,2835
12b,109 Cr.P.C.,4,3,3,12,38,11,6,6,9,14,5,1,18,1,3,14,7,1,0,2,3,28,9,11,5,7,2,0,2,3,5,5,65,0,5,4,4,4,320
12c,110 Cr.P.C.,6,1,4,26,603,64,28,0,19,37,1,7,5,4,10,94,7,10,25,4,5,0,32,18,17,148,26,33,9,2,96,13,40,111,51,32,50,6,1644
13,"CYBER CRIME
(INFORMATION
TECHNOLOGY ACT)",4,6,7,11,706,33,1,1,17,4,4,5,11,4,5,10,4,16,8,2,2,,16,6,1,3,4,12,3,1,19,8,15,7,5,10,34,0,1005
14a,Cr. Br. of Trust,1,0,0,0,23,1,1,0,0,0,0,1,3,0,0,0,1,1,0,1,0,0,0,0,1,0,2,1,0,2,1,1,3,1,2,1,0,0,48
14b,CHEATING,8,3,6,9,215,34,6,1,7,7,7,1,6,3,4,14,1,0,3,7,1,0,4,5,0,10,6,3,10,10,7,13,9,7,8,5,14,4,458
14c,COUNTERFEITING,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
15,KMMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15a,MMDR,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,12
16,"Motor vehicles
Theft Cases",6,16,9,12,365,98,7,9,7,10,12,2,13,3,7,10,20,3,6,7,10,3,1,8,6,18,1,14,17,12,21,14,28,5,3,11,15,4,813
17,NDPS Cases,13,0,7,12,34,56,2,7,0,38,12,1,19,0,4,3,1,52,5,2,23,11,4,1,0,2,93,8,4,2,6,42,16,14,16,5,0,2,517
