DISTRICT-WISE REPORTED CASES UNDER VARIOUS HEADS FOR THE MONTH OF JUNE - 2025 (AS ON 01/07/2025),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sl.
No.",Crime Head,"ot
k
al
ag
B","ari
all
B","City
avi
ag
el
B","Dist
avi
ag
el
B","city
u
ur
al
ng
e
B","District
u
ur
al
ng
e
B","ar
d
Bi","ar
ag
n
a
aj
ar
m
a
h
C","a
ur
p
a
all
b
k
hic
C","u
ur
al
ag
m
a
kk
hi
C","a
g
ur
d
a
hitr
C","a
d
a
n
n
a
k
a
n
hi
ks
a
D","e
er
ag
n
a
av
D","d
a
w
ar
h
D","ag
d
a
G","n
a
ass
H","eri
av
H","City
d
a
w
ar
h
D
alli
b
b
u
H","G.F
K.","agi
ur
b
a
al
K","City
agi
ur
b
a
al
K","ays
w
ail
R
a
k
a
at
n
ar
K","u
ag
d
o
K","ar
ol
K","al
p
p
o
K","a
dy
n
a
M","City
u
or
o
al
ng
a
M","City
u
ur
Mys","District
u
ur
Mys","ur
h
aic
R","a
ar
ag
n
a
m
a
R","a
g
g
o
m
a
v
hi
S","u
ur
k
a
m
u
T","pi
u
d
U","a
d
a
n
n
a
k
a
ar
Utt","a
ar
ag
n
a
ay
Vij","ur
p
a
ay
Vij","dgir
a
Y","al
ot
T"
8,Spl & Local laws,90,160,88,178,2512,106,59,90,117,145,175,36,128,44,100,253,92,241,46,87,148,6,83,36,84,162,62,54,63,146,71,277,234,109,133,139,171,75,6800
9a,"RAPE (Sec.376,
376(A) to 376
(D) IPC/64 TO
71 BNS)",1,3,1,2,27,1,1,0,1,1,1,2,4,0,0,1,2,1,2,2,1,0,0,1,3,1,1,1,0,3,2,2,2,1,2,0,2,3,78
9b,DOWRY DEATHS,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7
10,POCSO,7,3,6,9,38,8,2,8,3,17,11,4,10,1,5,9,17,7,3,2,3,0,7,6,7,16,10,6,7,6,3,13,13,4,7,10,3,18,309
11,SC ST & POA Act,3,5,1,5,22,5,5,5,4,3,2,1,9,2,3,7,12,4,0,4,2,0,0,3,6,11,2,3,1,11,5,5,14,6,3,2,7,7,190
12a,"107 Cr.P.C./126
BNSS",52,24,56,196,89,10,108,132,58,92,51,116,23,97,72,42,26,231,27,89,116,0,82,11,81,16,22,22,451,108,16,49,75,39,98,110,38,23,2948
12b,"109 Cr.P.C/128
BNSS",7,5,4,12,41,7,4,1,5,8,2,0,9,3,7,15,2,7,0,2,1,12,2,13,5,3,1,1,5,4,3,3,43,1,10,4,9,5,266
12c,"110 Cr.P.C/129
BNSS",2,7,5,28,255,19,16,8,121,16,3,0,3,5,8,92,6,120,159,2,2,3,10,17,5,83,7,13,117,5,4,3,19,23,2,7,13,4,1212
13,"CYBER CRIME
(INFORMATION
TECHNOLOGY ACT)",2,5,10,8,867,37,5,1,16,6,7,11,9,5,7,5,10,8,16,0,3,0,6,7,5,3,21,12,2,1,26,10,28,29,7,2,46,3,1246
14a,Cr. Br. of Trust,1,1,2,4,34,3,0,0,0,1,3,0,2,0,0,0,0,1,0,3,0,0,0,1,0,1,2,2,0,0,1,3,1,0,1,1,0,1,69
14b,CHEATING,7,5,8,13,174,34,1,4,5,5,6,5,11,2,2,8,5,6,3,2,3,0,11,2,2,7,13,5,7,3,15,22,13,13,13,4,7,4,450
14c,COUNTERFEITING,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,5
15,KMMC,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
15a,MMDR,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,11
16,"Motor vehicles
Theft Cases",4,10,15,24,403,51,9,1,10,6,11,0,24,4,0,15,30,8,2,10,9,6,1,9,6,27,8,10,10,12,20,17,32,6,7,6,12,1,836
17,NDPS Cases,6,4,30,10,65,16,6,6,3,18,16,2,19,3,3,11,1,88,2,1,58,4,41,13,1,16,18,5,2,17,3,72,11,40,37,6,8,0,662
