Month,Year,Crime_Category,Subcategory,Cases,Source_File,Page_Number,Table_Number
September,2022,Burglary,Burglary Night,376,crime_39.pdf,6,1
September,2022,Burglary,Burglary Day,79,crime_39.pdf,6,1
September,2022,Burglary,Total,455,crime_39.pdf,6,1
September,2022,Theft,Reported,1647,crime_39.pdf,7,1
September,2022,Riots,Riots,286,crime_39.pdf,8,1
September,2022,Hurt,Cases of Hurt,1217,crime_39.pdf,9,1
September,2022,Special & Local Laws,Special & Local Laws,4284,crime_39.pdf,10,1
September,2022,Crime against Women,Rape,47,crime_39.pdf,11,1
September,2022,Crime against Women,Dowry Death,11,crime_39.pdf,11,1
September,2022,POCSO,POCSO,266,crime_39.pdf,12,1
September,2022,SC/ST POA Act,SC/ST POA Act,171,crime_39.pdf,13,1
September,2022,Cyber Crimes,Cyber Crimes,1072,crime_39.pdf,15,1
September,2022,Economic Offences,Economic Offences,576,crime_39.pdf,16,1
September,2022,MMDR & KMMCR,MMDR Act,6,crime_39.pdf,17,1
September,2022,MMDR & KMMCR,KMMC Rules,4,crime_39.pdf,17,1
September,2022,Motor Vehicles Theft,Motor Vehicles Theft Cases,943,crime_39.pdf,18,1
September,2022,NDPS Cases,NDPS Cases,609,crime_39.pdf,19,1
October,2022,Murder,Murder for gain,4,crime_40.pdf,3,1
October,2022,Murder,Other Murders,122,crime_40.pdf,3,1
October,2022,Murder,Total Murder,126,crime_40.pdf,3,1
October,2022,Dacoity,Dacoity Cases,18,crime_40.pdf,4,1
October,2022,Robbery,Chain Snatching,47,crime_40.pdf,5,1
October,2022,Robbery,Robbery (Except Chain Snatching),76,crime_40.pdf,5,1
October,2022,Robbery,Total Robbery,123,crime_40.pdf,5,1
October,2022,Theft,Reported,1644,crime_40.pdf,7,1
October,2022,Riots,Riots,307,crime_40.pdf,8,1
October,2022,Hurt,Cases of Hurt,1240,crime_40.pdf,9,1
October,2022,Special & Local Laws,Special & Local Laws,4119,crime_40.pdf,10,1
October,2022,Crime against Women,Rape,34,crime_40.pdf,11,1
October,2022,Crime against Women,Dowry Death,12,crime_40.pdf,11,1
October,2022,POCSO,POCSO,233,crime_40.pdf,12,1
October,2022,SC/ST POA Act,SC/ST POA Act,160,crime_40.pdf,13,1
October,2022,Cyber Crimes,Cyber Crimes,1104,crime_40.pdf,15,1
October,2022,Economic Offences,Economic Offences,552,crime_40.pdf,16,1
October,2022,MMDR & KMMCR,MMDR Act,6,crime_40.pdf,17,1
October,2022,MMDR & KMMCR,KMMC Rules,6,crime_40.pdf,17,1
October,2022,Motor Vehicles Theft,Motor Vehicles Theft Cases,863,crime_40.pdf,18,1
October,2022,NDPS Cases,NDPS Cases,421,crime_40.pdf,19,1
November,2022,Murder,Murder for gain,2,crime_41.pdf,3,1
November,2022,Murder,Other Murders,100,crime_41.pdf,3,1
November,2022,Murder,Total Murder,102,crime_41.pdf,3,1
November,2022,Dacoity,Dacoity Cases,20,crime_41.pdf,4,1
November,2022,Robbery,Chain Snatching,40,crime_41.pdf,5,1
November,2022,Robbery,Robbery (Except Chain Snatching),98,crime_41.pdf,5,1
November,2022,Robbery,Total Robbery,138,crime_41.pdf,5,1
November,2022,Theft,Reported,1712,crime_41.pdf,7,1
November,2022,Riots,Riots,268,crime_41.pdf,8,1
November,2022,Hurt,Cases of Hurt,1171,crime_41.pdf,9,1
November,2022,Special & Local Laws,Special & Local Laws,3913,crime_41.pdf,10,1
November,2022,Crime against Women,Rape,46,crime_41.pdf,11,1
November,2022,Crime against Women,Dowry Death,18,crime_41.pdf,11,1
November,2022,POCSO,POCSO,281,crime_41.pdf,12,1
November,2022,SC/ST POA Act,SC/ST POA Act,170,crime_41.pdf,13,1
November,2022,Cyber Crimes,Cyber Crimes,1232,crime_41.pdf,15,1
November,2022,Economic Offences,Economic Offences,612,crime_41.pdf,16,1
November,2022,MMDR & KMMCR,MMDR Act,4,crime_41.pdf,17,1
November,2022,MMDR & KMMCR,KMMC Rules,2,crime_41.pdf,17,1
November,2022,Motor Vehicles Theft,Motor Vehicles Theft Cases,943,crime_41.pdf,18,1
November,2022,NDPS Cases,NDPS Cases,386,crime_41.pdf,19,1
December,2022,Murder,Murder for gain,4,crime_31.pdf,3,1
December,2022,Murder,Other Murders,104,crime_31.pdf,3,1
December,2022,Murder,Total Murder,108,crime_31.pdf,3,1
December,2022,Dacoity,Dacoity Cases,15,crime_31.pdf,4,1
December,2022,Robbery,Chain Snatching,51,crime_31.pdf,5,1
