Month,Year,Crime_Category,Subcategory,Cases,Duplicate_Count,Source_Files
January,2023,MMDR & KMMCR,MMDR Act,8,3,crime_18_page_17_table_01.csv | crime_31_page_17_table_01.csv | crime_32_page_17_table_01.csv
April,2025,Murder,Murder for gain,3,3,crime_10_page_03_table_01.csv | crime_4_page_03_table_01.csv | crime_9_page_03_table_01.csv
September,2025,Crime against Women,Dowry Death,6,3,crime_14_page_11_table_01.csv | crime_14_page_65_table_01.csv | crime_15_page_11_table_01.csv
September,2025,Dacoity,Dacoity Cases,12,3,crime_14_page_04_table_01.csv | crime_14_page_58_table_01.csv | crime_15_page_04_table_01.csv
September,2025,MMDR & KMMCR,KMMC Rules,1,3,crime_14_page_17_table_01.csv | crime_14_page_71_table_01.csv | crime_15_page_17_table_01.csv
September,2025,Motor Vehicles Theft,Motor Vehicles Theft Cases,731,3,crime_14_page_18_table_01.csv | crime_14_page_72_table_01.csv | crime_15_page_18_table_01.csv
September,2025,Robbery,Total Robbery,90,3,crime_14_page_05_table_01.csv | crime_14_page_59_table_01.csv | crime_15_page_05_table_01.csv
August,2024,MMDR & KMMCR,MMDR Act,3,2,crime_25_page_17_table_01.csv | crime_26_page_17_table_01.csv
August,2024,Murder,Murder for gain,4,2,crime_13_page_03_table_01.csv | crime_26_page_03_table_01.csv
August,2024,NDPS Cases,NDPS Cases,436,2,crime_25_page_19_table_01.csv | crime_26_page_19_table_01.csv
August,2024,Robbery,Chain Snatching,54,2,crime_25_page_05_table_01.csv | crime_26_page_05_table_01.csv
August,2024.0,Security Cases,Security Cases,1940,2,crime_25_page_14_table_01.csv | crime_26_page_14_table_01.csv
August,2024.0,Security Cases,Total,2491,2,crime_25_page_14_table_01.csv | crime_26_page_14_table_01.csv
August,2025,Burglary,Burglary Night,350,2,crime_14_page_06_table_01.csv | crime_14_page_60_table_01.csv
August,2025,Burglary,Total,441,2,crime_14_page_06_table_01.csv | crime_14_page_60_table_01.csv
August,2025,Crime against Women,Rape,83,2,crime_14_page_11_table_01.csv | crime_14_page_65_table_01.csv
August,2025,Cyber Crimes,Cyber Crimes,1265,2,crime_14_page_15_table_01.csv | crime_14_page_69_table_01.csv
August,2025,Dacoity,Dacoity Cases,8,2,crime_14_page_04_table_01.csv | crime_14_page_58_table_01.csv
August,2025,Economic Offences,Economic Offences,443,2,crime_14_page_16_table_01.csv | crime_14_page_70_table_01.csv
August,2025,Hurt,Cases of Hurt,1223,2,crime_14_page_09_table_01.csv | crime_14_page_63_table_01.csv
August,2025,POCSO,POCSO,379,2,crime_14_page_12_table_01.csv | crime_14_page_66_table_01.csv
August,2025,Riots,Riots,285,2,crime_14_page_08_table_01.csv | crime_14_page_62_table_01.csv
August,2025,Robbery,Chain Snatching,30,2,crime_14_page_05_table_01.csv | crime_14_page_59_table_01.csv
August,2025,Robbery,Robbery (Except Chain Snatching),54,2,crime_14_page_05_table_01.csv | crime_14_page_59_table_01.csv
August,2025,Robbery,Total Robbery,84,2,crime_14_page_05_table_01.csv | crime_14_page_59_table_01.csv
August,2025,SC/ST POA Act,SC/ST POA Act,172,2,crime_14_page_13_table_01.csv | crime_14_page_67_table_01.csv
August,2025,Special & Local Laws,Special & Local Laws,4872,2,crime_14_page_10_table_01.csv | crime_14_page_64_table_01.csv
August,2025,Theft,Reported,1560,2,crime_14_page_07_table_01.csv | crime_14_page_61_table_01.csv
