Month,Year,Crime_Category,Subcategory,Old_Cases,New_Cases,Kept_Source_File,Removed_Source_File,Resolution_Reason
September,2024,SC/ST POA Act,SC/ST POA Act,180 | 178,183,crime_27.pdf,crime_14.pdf | crime_26.pdf,Updated in latest report
September,2024,Cyber Crimes,Cyber Crimes,1738 | 1688,1686,crime_27.pdf,crime_14.pdf | crime_26.pdf,Updated in latest report
September,2024,Economic Offences,Economic Offences,577 | 578,578,crime_27.pdf,crime_14.pdf | crime_26.pdf,Updated in latest report
September,2024,MMDR & KMMCR,MMDR Act,3 | 2,2,crime_27.pdf,crime_14.pdf | crime_26.pdf,Updated in latest report
September,2024,Motor Vehicles Theft,Motor Vehicles Theft Cases,881 | 876,880,crime_27.pdf,crime_14.pdf | crime_26.pdf,Updated in latest report
September,2024,NDPS Cases,NDPS Cases,340 | 339,339,crime_27.pdf,crime_14.pdf | crime_26.pdf,Updated in latest report
October,2024,Murder,Murder for gain,2 | 3,3,crime_29.pdf,crime_15.pdf | crime_27.pdf | crime_28.pdf,Updated in latest report
October,2024,Murder,Other Murders,99 | 94 | 96,96,crime_29.pdf,crime_15.pdf | crime_27.pdf | crime_28.pdf,Updated in latest report
October,2024,Murder,Total Murder,101 | 97 | 99,99,crime_29.pdf,crime_15.pdf | crime_27.pdf | crime_28.pdf,Updated in latest report
October,2024,Dacoity,Dacoity Cases,8 | 9,9,crime_29.pdf,crime_15.pdf | crime_27.pdf | crime_28.pdf,Updated in latest report
October,2024,Robbery,Chain Snatching,36 | 32 | 33,33,crime_29.pdf,crime_15.pdf | crime_27.pdf | crime_28.pdf,Updated in latest report
October,2024,Robbery,Robbery (Except Chain Snatching),60 | 61 | 59,59,crime_29.pdf,crime_15.pdf | crime_27.pdf | crime_28.pdf,Updated in latest report
October,2024,Robbery,Total Robbery,96 | 93 | 92,92,crime_29.pdf,crime_15.pdf | crime_27.pdf | crime_28.pdf,Updated in latest report
October,2024,Burglary,Burglary Night,388 | 387,388,crime_29.pdf,crime_15.pdf | crime_27.pdf | crime_28.pdf,Updated in latest report
October,2024,Burglary,Burglary Day,100 | 97,100,crime_29.pdf,crime_15.pdf | crime_27.pdf | crime_28.pdf,Updated in latest report
October,2024,Burglary,Total,488 | 484,488,crime_29.pdf,crime_15.pdf | crime_27.pdf | crime_28.pdf,Updated in latest report
October,2024,Theft,Reported,1766 | 1769 | 1768,1768,crime_29.pdf,crime_15.pdf | crime_27.pdf | crime_28.pdf,Updated in latest report
October,2024,Riots,Riots,206 | 201 | 199,199,crime_29.pdf,crime_15.pdf | crime_27.pdf | crime_28.pdf,Updated in latest report
October,2024,Hurt,Cases of Hurt,1280 | 1276,1276,crime_29.pdf,crime_15.pdf | crime_27.pdf | crime_28.pdf,Updated in latest report
October,2024,Special & Local Laws,Special & Local Laws,4355 | 4270 | 4321,4321,crime_29.pdf,crime_15.pdf | crime_27.pdf | crime_28.pdf,Updated in latest report
October,2024,Crime against Women,Rape,54 | 51 | 50,50,crime_29.pdf,crime_15.pdf | crime_27.pdf | crime_28.pdf,Updated in latest report
October,2024,POCSO,POCSO,258 | 209 | 237,237,crime_29.pdf,crime_15.pdf | crime_27.pdf | crime_28.pdf,Updated in latest report
October,2024,SC/ST POA Act,SC/ST POA Act,155 | 159 | 164,164,crime_29.pdf,crime_15.pdf | crime_27.pdf | crime_28.pdf,Updated in latest report
October,2024,Cyber Crimes,Cyber Crimes,1688 | 1641 | 1643,1643,crime_29.pdf,crime_15.pdf | crime_27.pdf | crime_28.pdf,Updated in latest report
October,2024,Economic Offences,Economic Offences,516 | 523 | 521,521,crime_29.pdf,crime_15.pdf | crime_27.pdf | crime_28.pdf,Updated in latest report
October,2024,MMDR & KMMCR,MMDR Act,9 | 10,9,crime_29.pdf,crime_15.pdf | crime_27.pdf | crime_28.pdf,Updated in latest report
October,2024,Motor Vehicles Theft,Motor Vehicles Theft Cases,841 | 839,839,crime_29.pdf,crime_15.pdf | crime_27.pdf | crime_28.pdf,Updated in latest report
November,2024,Murder,Murder for gain,5 | 4,4,crime_30.pdf,crime_16.pdf | crime_28.pdf | crime_29.pdf,Updated in latest report
November,2024,Murder,Other Murders,99 | 98,103,crime_30.pdf,crime_16.pdf | crime_28.pdf | crime_29.pdf,Updated in latest report
November,2024,Murder,Total Murder,104 | 102,107,crime_30.pdf,crime_16.pdf | crime_28.pdf | crime_29.pdf,Updated in latest report
November,2024,Dacoity,Dacoity Cases,11 | 9,9,crime_30.pdf,crime_16.pdf | crime_28.pdf | crime_29.pdf,Updated in latest report
November,2024,Robbery,Chain Snatching,41 | 40,40,crime_30.pdf,crime_16.pdf | crime_28.pdf | crime_29.pdf,Updated in latest report
November,2024,Robbery,Robbery (Except Chain Snatching),40 | 44,42,crime_30.pdf,crime_16.pdf | crime_28.pdf | crime_29.pdf,Updated in latest report
November,2024,Robbery,Total Robbery,81 | 84,82,crime_30.pdf,crime_16.pdf | crime_28.pdf | crime_29.pdf,Updated in latest report
November,2024,Burglary,Burglary Night,336 | 332,334,crime_30.pdf,crime_16.pdf | crime_28.pdf | crime_29.pdf,Updated in latest report
November,2024,Burglary,Burglary Day,92 | 89,91,crime_30.pdf,crime_16.pdf | crime_28.pdf | crime_29.pdf,Updated in latest report
November,2024,Burglary,Total,428 | 421,425,crime_30.pdf,crime_16.pdf | crime_28.pdf | crime_29.pdf,Updated in latest report
November,2024,Theft,Reported,1664 | 1665,1667,crime_30.pdf,crime_16.pdf | crime_28.pdf | crime_29.pdf,Updated in latest report
November,2024,Riots,Riots,226 | 219,219,crime_30.pdf,crime_16.pdf | crime_28.pdf | crime_29.pdf,Updated in latest report
November,2024,Hurt,Cases of Hurt,1246 | 1228,1230,crime_30.pdf,crime_16.pdf | crime_28.pdf | crime_29.pdf,Updated in latest report
November,2024,Special & Local Laws,Special & Local Laws,5704 | 5620,5666,crime_30.pdf,crime_16.pdf | crime_28.pdf | crime_29.pdf,Updated in latest report
November,2024,Crime against Women,Rape,49 | 46,45,crime_30.pdf,crime_16.pdf | crime_28.pdf | crime_29.pdf,Updated in latest report
November,2024,POCSO,POCSO,319 | 260,296,crime_30.pdf,crime_16.pdf | crime_28.pdf | crime_29.pdf,Updated in latest report
November,2024,SC/ST POA Act,SC/ST POA Act,149 | 151,154,crime_30.pdf,crime_16.pdf | crime_28.pdf | crime_29.pdf,Updated in latest report
November,2024,Cyber Crimes,Cyber Crimes,1608 | 1568,1569,crime_30.pdf,crime_16.pdf | crime_28.pdf | crime_29.pdf,Updated in latest report
November,2024,Economic Offences,Economic Offences,503 | 506,505,crime_30.pdf,crime_16.pdf | crime_28.pdf | crime_29.pdf,Updated in latest report
November,2024,Motor Vehicles Theft,Motor Vehicles Theft Cases,777,778,crime_30.pdf,crime_16.pdf | crime_28.pdf | crime_29.pdf,Updated in latest report
December,2024,Murder,Murder for gain,7 | 8,7,crime_30.pdf,crime_6.pdf | crime_17.pdf,Updated in latest report
December,2024,Murder,Other Murders,87,88,crime_30.pdf,crime_6.pdf | crime_17.pdf,Updated in latest report
December,2024,Murder,Total Murder,94 | 95,95,crime_30.pdf,crime_6.pdf | crime_17.pdf,Updated in latest report
December,2024,Dacoity,Dacoity Cases,12 | 10,12,crime_30.pdf,crime_6.pdf | crime_17.pdf,Updated in latest report
December,2024,Robbery,Chain Snatching,39 | 40,40,crime_30.pdf,crime_6.pdf | crime_17.pdf,Updated in latest report
December,2024,Robbery,Robbery (Except Chain Snatching),53 | 51,56,crime_30.pdf,crime_6.pdf | crime_17.pdf,Updated in latest report
December,2024,Robbery,Total Robbery,92 | 91,96,crime_30.pdf,crime_6.pdf | crime_17.pdf,Updated in latest report
December,2024,Burglary,Burglary Night,336 | 338,333,crime_30.pdf,crime_6.pdf | crime_17.pdf,Updated in latest report
December,2024,Burglary,Total,430 | 432,427,crime_30.pdf,crime_6.pdf | crime_17.pdf,Updated in latest report
December,2024,Theft,Reported,1891 | 1889,1890,crime_30.pdf,crime_6.pdf | crime_17.pdf,Updated in latest report
December,2024,Riots,Riots,247 | 253,246,crime_30.pdf,crime_6.pdf | crime_17.pdf,Updated in latest report
December,2024,Hurt,Cases of Hurt,1300 | 1327,1300,crime_30.pdf,crime_6.pdf | crime_17.pdf,Updated in latest report
December,2024,Special & Local Laws,Special & Local Laws,6333 | 6363,6274,crime_30.pdf,crime_6.pdf | crime_17.pdf,Updated in latest report
December,2024,Crime against Women,Rape,58 | 55,50,crime_30.pdf,crime_6.pdf | crime_17.pdf,Updated in latest report
December,2024,Crime against Women,Dowry Death,6,4,crime_30.pdf,crime_6.pdf | crime_17.pdf,Updated in latest report
December,2024,POCSO,POCSO,319 | 346,279,crime_30.pdf,crime_6.pdf | crime_17.pdf,Updated in latest report
December,2024,SC/ST POA Act,SC/ST POA Act,172 | 165,169,crime_30.pdf,crime_6.pdf | crime_17.pdf,Updated in latest report
December,2024,Cyber Crimes,Cyber Crimes,1520 | 1525,1492,crime_30.pdf,crime_6.pdf | crime_17.pdf,Updated in latest report
December,2024,Economic Offences,Economic Offences,615 | 611,616,crime_30.pdf,crime_6.pdf | crime_17.pdf,Updated in latest report
December,2024,MMDR & KMMCR,MMDR Act,5,6,crime_30.pdf,crime_6.pdf | crime_17.pdf,Updated in latest report
December,2024,MMDR & KMMCR,KMMC Rules,2,1,crime_30.pdf,crime_6.pdf | crime_17.pdf,Updated in latest report
December,2024,Motor Vehicles Theft,Motor Vehicles Theft Cases,926 | 922,923,crime_30.pdf,crime_6.pdf | crime_17.pdf,Updated in latest report
January,2024.0,Security Cases,Security Cases,1724 | 1690,1721,crime_19.pdf,crime_6.pdf | crime_18.pdf,Updated in latest report
January,2024.0,Security Cases,Total,3751 | 3640,3747,crime_19.pdf,crime_6.pdf | crime_18.pdf,Updated in latest report
February,2024.0,Security Cases,Security Cases,8574 | 8494,8557,crime_20.pdf,crime_7.pdf | crime_19.pdf,Updated in latest report
February,2024.0,Security Cases,Total,14414 | 14391,14455,crime_20.pdf,crime_7.pdf | crime_19.pdf,Updated in latest report
March,2024.0,Security Cases,Security Cases,9676 | 9658,9666,crime_21.pdf,crime_8.pdf | crime_20.pdf,Updated in latest report
March,2024.0,Security Cases,Total,14299 | 14271,14285,crime_21.pdf,crime_8.pdf | crime_20.pdf,Updated in latest report
April,2024.0,Security Cases,Security Cases,2803 | 2793,2798,crime_22.pdf,crime_9.pdf | crime_21.pdf,Updated in latest report
April,2024.0,Security Cases,Total,4707 | 4692,4700,crime_22.pdf,crime_9.pdf | crime_21.pdf,Updated in latest report
May,2024.0,Security Cases,Security Cases,1654 | 1621,1649,crime_23.pdf,crime_10.pdf | crime_22.pdf,Updated in latest report
May,2024.0,Security Cases,Total,2209 | 2169,2203,crime_23.pdf,crime_10.pdf | crime_22.pdf,Updated in latest report
June,2024.0,Security Cases,Security Cases,2661 | 2599,2619,crime_24.pdf,crime_11.pdf | crime_23.pdf,Updated in latest report
June,2024.0,Security Cases,Total,3287 | 3218,3243,crime_24.pdf,crime_11.pdf | crime_23.pdf,Updated in latest report
July,2024.0,Security Cases,Security Cases,1337 | 221,222,crime_25.pdf,crime_12.pdf | crime_24.pdf,Updated in latest report
July,2024.0,Security Cases,Total,2165 | 334,335,crime_25.pdf,crime_12.pdf | crime_24.pdf,Updated in latest report
August,2024.0,Security Cases,Security Cases,1665 | 1940,1940,crime_26.pdf,crime_13.pdf | crime_25.pdf,Updated in latest report
August,2024.0,Security Cases,Total,2421 | 2491,2491,crime_26.pdf,crime_13.pdf | crime_25.pdf,Updated in latest report
September,2024.0,Security Cases,Security Cases,1875 | 1797,1797,crime_27.pdf,crime_14.pdf | crime_26.pdf,Updated in latest report
September,2024.0,Security Cases,Total,2682 | 2155,2155,crime_27.pdf,crime_14.pdf | crime_26.pdf,Updated in latest report
October,2024.0,Security Cases,Security Cases,1338 | 1310,1310,crime_29.pdf,crime_15.pdf | crime_27.pdf | crime_28.pdf,Updated in latest report
October,2024.0,Security Cases,Total,2523 | 2447,2447,crime_29.pdf,crime_15.pdf | crime_27.pdf | crime_28.pdf,Updated in latest report
November,2024.0,Security Cases,Security Cases,1074 | 1057,1057,crime_30.pdf,crime_16.pdf | crime_28.pdf | crime_29.pdf,Updated in latest report
November,2024.0,Security Cases,Total,1914 | 1875,1875,crime_30.pdf,crime_16.pdf | crime_28.pdf | crime_29.pdf,Updated in latest report
December,2024.0,Security Cases,Security Cases,1199 | 1200,1195,crime_30.pdf,crime_6.pdf | crime_17.pdf,Updated in latest report
December,2024.0,Security Cases,Total,1949,1933,crime_30.pdf,crime_6.pdf | crime_17.pdf,Updated in latest report
January,2025,Murder,Other Murders,95 | 94,97,crime_7.pdf,crime_1.pdf | crime_6.pdf,Updated in latest report
January,2025,Murder,Total Murder,99 | 98,101,crime_7.pdf,crime_1.pdf | crime_6.pdf,Updated in latest report
January,2025,Dacoity,Dacoity Cases,19 | 13,13,crime_7.pdf,crime_1.pdf | crime_6.pdf,Updated in latest report
January,2025,Robbery,Chain Snatching,44 | 42,43,crime_7.pdf,crime_1.pdf | crime_6.pdf,Updated in latest report
January,2025,Robbery,Robbery (Except Chain Snatching),45 | 56,54,crime_7.pdf,crime_1.pdf | crime_6.pdf,Updated in latest report
January,2025,Robbery,Total Robbery,89 | 98,97,crime_7.pdf,crime_1.pdf | crime_6.pdf,Updated in latest report
January,2025,Burglary,Burglary Night,316,315,crime_7.pdf,crime_1.pdf | crime_6.pdf,Updated in latest report
January,2025,Burglary,Burglary Day,95 | 94,94,crime_7.pdf,crime_1.pdf | crime_6.pdf,Updated in latest report
January,2025,Burglary,Total,411 | 410,489,crime_7.pdf,crime_1.pdf | crime_6.pdf,Updated in latest report
January,2025,Theft,Reported,1835 | 1837,1837,crime_7.pdf,crime_1.pdf | crime_6.pdf,Updated in latest report
January,2025,Riots,Riots,254 | 260,263,crime_7.pdf,crime_1.pdf | crime_6.pdf,Updated in latest report
January,2025,Hurt,Cases of Hurt,1327 | 1314,1306,crime_7.pdf,crime_1.pdf | crime_6.pdf,Updated in latest report
January,2025,Special & Local Laws,Special & Local Laws,4629 | 4534,4596,crime_7.pdf,crime_1.pdf | crime_6.pdf,Updated in latest report
January,2025,Crime against Women,Rape,57 | 65,65,crime_7.pdf,crime_1.pdf | crime_6.pdf,Updated in latest report
January,2025,Crime against Women,Dowry Death,12 | 11,11,crime_7.pdf,crime_1.pdf | crime_6.pdf,Updated in latest report
January,2025,POCSO,POCSO,374 | 304,348,crime_7.pdf,crime_1.pdf | crime_6.pdf,Updated in latest report
January,2025,SC/ST POA Act,SC/ST POA Act,173 | 172,178,crime_7.pdf,crime_1.pdf | crime_6.pdf,Updated in latest report
January,2025,Cyber Crimes,Cyber Crimes,1407 | 1401,1401,crime_7.pdf,crime_1.pdf | crime_6.pdf,Updated in latest report
January,2025,Economic Offences,Economic Offences,572 | 571,571,crime_7.pdf,crime_1.pdf | crime_6.pdf,Updated in latest report
January,2025,MMDR & KMMCR,MMDR Act,3 | 5,4,crime_7.pdf,crime_1.pdf | crime_6.pdf,Updated in latest report
January,2025,MMDR & KMMCR,KMMC Rules,1 | 0,1,crime_7.pdf,crime_1.pdf | crime_6.pdf,Updated in latest report
January,2025,Motor Vehicles Theft,Motor Vehicles Theft Cases,900,902,crime_7.pdf,crime_1.pdf | crime_6.pdf,Updated in latest report
February,2025,Murder,Other Murders,99 | 98,100,crime_8.pdf,crime_2.pdf | crime_7.pdf,Updated in latest report
February,2025,Murder,Total Murder,102 | 101,103,crime_8.pdf,crime_2.pdf | crime_7.pdf,Updated in latest report
February,2025,Dacoity,Dacoity Cases,9 | 11,11,crime_8.pdf,crime_2.pdf | crime_7.pdf,Updated in latest report
February,2025,Robbery,Chain Snatching,37 | 33,33,crime_8.pdf,crime_2.pdf | crime_7.pdf,Updated in latest report
February,2025,Robbery,Robbery (Except Chain Snatching),43 | 46,46,crime_8.pdf,crime_2.pdf | crime_7.pdf,Updated in latest report
February,2025,Robbery,Total Robbery,80 | 79,79,crime_8.pdf,crime_2.pdf | crime_7.pdf,Updated in latest report
February,2025,Burglary,Burglary Night,316 | 312,313,crime_8.pdf,crime_2.pdf | crime_7.pdf,Updated in latest report
February,2025,Burglary,Burglary Day,72 | 73,73,crime_8.pdf,crime_2.pdf | crime_7.pdf,Updated in latest report
February,2025,Burglary,Total,388 | 385,386,crime_8.pdf,crime_2.pdf | crime_7.pdf,Updated in latest report
February,2025,Theft,Reported,1636 | 1644,1612,crime_8.pdf,crime_2.pdf | crime_7.pdf,Updated in latest report
February,2025,Riots,Riots,273 | 271,277,crime_8.pdf,crime_2.pdf | crime_7.pdf,Updated in latest report
February,2025,Hurt,Cases of Hurt,1217 | 1202,1186,crime_8.pdf,crime_2.pdf | crime_7.pdf,Updated in latest report
February,2025,Special & Local Laws,Special & Local Laws,4308 | 4188,4248,crime_8.pdf,crime_2.pdf | crime_7.pdf,Updated in latest report
February,2025,Crime against Women,Rape,60 | 77,77,crime_8.pdf,crime_2.pdf | crime_7.pdf,Updated in latest report
February,2025,POCSO,POCSO,348 | 264,306,crime_8.pdf,crime_2.pdf | crime_7.pdf,Updated in latest report
February,2025,SC/ST POA Act,SC/ST POA Act,185 | 183,188,crime_8.pdf,crime_2.pdf | crime_7.pdf,Updated in latest report
February,2025,Cyber Crimes,Cyber Crimes,1181 | 1173,1174,crime_8.pdf,crime_2.pdf | crime_7.pdf,Updated in latest report
February,2025,Economic Offences,Economic Offences,510 | 517,514,crime_8.pdf,crime_2.pdf | crime_7.pdf,Updated in latest report
February,2025,Motor Vehicles Theft,Motor Vehicles Theft Cases,739 | 738,740,crime_8.pdf,crime_2.pdf | crime_7.pdf,Updated in latest report
February,2025,NDPS Cases,NDPS Cases,416 | 415,415,crime_8.pdf,crime_2.pdf | crime_7.pdf,Updated in latest report
March,2025,Murder,Murder for gain,3 | 2,4,crime_9.pdf,crime_3.pdf | crime_8.pdf,Updated in latest report
March,2025,Murder,Other Murders,97 | 98,99,crime_9.pdf,crime_3.pdf | crime_8.pdf,Updated in latest report
March,2025,Murder,Total Murder,100,103,crime_9.pdf,crime_3.pdf | crime_8.pdf,Updated in latest report
March,2025,Dacoity,Dacoity Cases,14 | 13,14,crime_9.pdf,crime_3.pdf | crime_8.pdf,Updated in latest report
March,2025,Robbery,Chain Snatching,36 | 40,41,crime_9.pdf,crime_3.pdf | crime_8.pdf,Updated in latest report
March,2025,Robbery,Robbery (Except Chain Snatching),46 | 53,50,crime_9.pdf,crime_3.pdf | crime_8.pdf,Updated in latest report
March,2025,Robbery,Total Robbery,82 | 93,91,crime_9.pdf,crime_3.pdf | crime_8.pdf,Updated in latest report
March,2025,Burglary,Burglary Night,292 | 289,291,crime_9.pdf,crime_3.pdf | crime_8.pdf,Updated in latest report
March,2025,Burglary,Total,373 | 370,372,crime_9.pdf,crime_3.pdf | crime_8.pdf,Updated in latest report
March,2025,Theft,Reported,1819 | 1749,1816,crime_9.pdf,crime_3.pdf | crime_8.pdf,Updated in latest report
March,2025,Riots,Riots,298 | 295,294,crime_9.pdf,crime_3.pdf | crime_8.pdf,Updated in latest report
March,2025,Hurt,Cases of Hurt,1594 | 1582,1580,crime_9.pdf,crime_3.pdf | crime_8.pdf,Updated in latest report
March,2025,Special & Local Laws,Special & Local Laws,6109 | 5994,6043,crime_9.pdf,crime_3.pdf | crime_8.pdf,Updated in latest report
March,2025,Crime against Women,Rape,59 | 96,96,crime_9.pdf,crime_3.pdf | crime_8.pdf,Updated in latest report
March,2025,Crime against Women,Dowry Death,7 | 10,9,crime_9.pdf,crime_3.pdf | crime_8.pdf,Updated in latest report
March,2025,POCSO,POCSO,400 | 332,368,crime_9.pdf,crime_3.pdf | crime_8.pdf,Updated in latest report
March,2025,SC/ST POA Act,SC/ST POA Act,205 | 195,202,crime_9.pdf,crime_3.pdf | crime_8.pdf,Updated in latest report
March,2025,Cyber Crimes,Cyber Crimes,1268 | 1254,1255,crime_9.pdf,crime_3.pdf | crime_8.pdf,Updated in latest report
March,2025,Economic Offences,Economic Offences,582 | 581,581,crime_9.pdf,crime_3.pdf | crime_8.pdf,Updated in latest report
March,2025,MMDR & KMMCR,MMDR Act,12 | 13,13,crime_9.pdf,crime_3.pdf | crime_8.pdf,Updated in latest report
March,2025,Motor Vehicles Theft,Motor Vehicles Theft Cases,831,832,crime_9.pdf,crime_3.pdf | crime_8.pdf,Updated in latest report
April,2025,Murder,Other Murders,117 | 118,117,crime_10.pdf,crime_4.pdf | crime_9.pdf,Updated in latest report
April,2025,Murder,Total Murder,120 | 121,120,crime_10.pdf,crime_4.pdf | crime_9.pdf,Updated in latest report
April,2025,Dacoity,Dacoity Cases,10 | 8,8,crime_10.pdf,crime_4.pdf | crime_9.pdf,Updated in latest report
April,2025,Robbery,Chain Snatching,41 | 38,39,crime_10.pdf,crime_4.pdf | crime_9.pdf,Updated in latest report
April,2025,Robbery,Robbery (Except Chain Snatching),39 | 46,44,crime_10.pdf,crime_4.pdf | crime_9.pdf,Updated in latest report
April,2025,Robbery,Total Robbery,80 | 84,83,crime_10.pdf,crime_4.pdf | crime_9.pdf,Updated in latest report
April,2025,Burglary,Burglary Night,320 | 313,317,crime_10.pdf,crime_4.pdf | crime_9.pdf,Updated in latest report
April,2025,Burglary,Burglary Day,96 | 91,91,crime_10.pdf,crime_4.pdf | crime_9.pdf,Updated in latest report
April,2025,Burglary,Total,416 | 404,408,crime_10.pdf,crime_4.pdf | crime_9.pdf,Updated in latest report
April,2025,Theft,Reported,1769 | 1782,1784,crime_10.pdf,crime_4.pdf | crime_9.pdf,Updated in latest report
April,2025,Riots,Riots,302 | 295,295,crime_10.pdf,crime_4.pdf | crime_9.pdf,Updated in latest report
April,2025,Hurt,Cases of Hurt,1548 | 1528,1528,crime_10.pdf,crime_4.pdf | crime_9.pdf,Updated in latest report
April,2025,Special & Local Laws,Special & Local Laws,5188 | 5082,5130,crime_10.pdf,crime_4.pdf | crime_9.pdf,Updated in latest report
April,2025,Crime against Women,Rape,56 | 79,79,crime_10.pdf,crime_4.pdf | crime_9.pdf,Updated in latest report
April,2025,Crime against Women,Dowry Death,16 | 15,16,crime_10.pdf,crime_4.pdf | crime_9.pdf,Updated in latest report
April,2025,POCSO,POCSO,382 | 309,349,crime_10.pdf,crime_4.pdf | crime_9.pdf,Updated in latest report
April,2025,SC/ST POA Act,SC/ST POA Act,189 | 186,192,crime_10.pdf,crime_4.pdf | crime_9.pdf,Updated in latest report
April,2025,Cyber Crimes,Cyber Crimes,1008 | 1005,1007,crime_10.pdf,crime_4.pdf | crime_9.pdf,Updated in latest report
April,2025,Economic Offences,Economic Offences,507 | 509,509,crime_10.pdf,crime_4.pdf | crime_9.pdf,Updated in latest report
April,2025,MMDR & KMMCR,MMDR Act,7 | 12,0,crime_10.pdf,crime_4.pdf | crime_9.pdf,Updated in latest report
April,2025,Motor Vehicles Theft,Motor Vehicles Theft Cases,813,815,crime_10.pdf,crime_4.pdf | crime_9.pdf,Updated in latest report
May,2025,Murder,Other Murders,110 | 101,109,crime_11.pdf,crime_5.pdf | crime_10.pdf,Updated in latest report
May,2025,Murder,Total Murder,114 | 105,113,crime_11.pdf,crime_5.pdf | crime_10.pdf,Updated in latest report
May,2025,Dacoity,Dacoity Cases,5 | 6,8,crime_11.pdf,crime_5.pdf | crime_10.pdf,Updated in latest report
May,2025,Robbery,Chain Snatching,40 | 38,39,crime_11.pdf,crime_5.pdf | crime_10.pdf,Updated in latest report
May,2025,Robbery,Robbery (Except Chain Snatching),44 | 47,46,crime_11.pdf,crime_5.pdf | crime_10.pdf,Updated in latest report
May,2025,Robbery,Total Robbery,84 | 85,85,crime_11.pdf,crime_5.pdf | crime_10.pdf,Updated in latest report
May,2025,Burglary,Burglary Night,333 | 331,334,crime_11.pdf,crime_5.pdf | crime_10.pdf,Updated in latest report
May,2025,Burglary,Burglary Day,89 | 87,85,crime_11.pdf,crime_5.pdf | crime_10.pdf,Updated in latest report
May,2025,Burglary,Total,422 | 418,419,crime_11.pdf,crime_5.pdf | crime_10.pdf,Updated in latest report
May,2025,Theft,Reported,1707 | 1729,1725,crime_11.pdf,crime_5.pdf | crime_10.pdf,Updated in latest report
May,2025,Riots,Riots,296 | 293,297,crime_11.pdf,crime_5.pdf | crime_10.pdf,Updated in latest report
May,2025,Hurt,Cases of Hurt,1408 | 1394,1390,crime_11.pdf,crime_5.pdf | crime_10.pdf,Updated in latest report
May,2025,Special & Local Laws,Special & Local Laws,5425 | 5350,5392,crime_11.pdf,crime_5.pdf | crime_10.pdf,Updated in latest report
May,2025,Crime against Women,Rape,63 | 92,90,crime_11.pdf,crime_5.pdf | crime_10.pdf,Updated in latest report
May,2025,Crime against Women,Dowry Death,6 | 3,6,crime_11.pdf,crime_5.pdf | crime_10.pdf,Updated in latest report
May,2025,POCSO,POCSO,393 | 344,374,crime_11.pdf,crime_5.pdf | crime_10.pdf,Updated in latest report
May,2025,SC/ST POA Act,SC/ST POA Act,177 | 178,177,crime_11.pdf,crime_5.pdf | crime_10.pdf,Updated in latest report
May,2025,Cyber Crimes,Cyber Crimes,1200 | 1193,1194,crime_11.pdf,crime_5.pdf | crime_10.pdf,Updated in latest report
May,2025,Economic Offences,Economic Offences,530 | 536,534,crime_11.pdf,crime_5.pdf | crime_10.pdf,Updated in latest report
May,2025,MMDR & KMMCR,MMDR Act,4 | 0,3,crime_11.pdf,crime_5.pdf | crime_10.pdf,Updated in latest report
May,2025,Motor Vehicles Theft,Motor Vehicles Theft Cases,779 | 781,779,crime_11.pdf,crime_5.pdf | crime_10.pdf,Updated in latest report
June,2025,Murder,Other Murders,98,100,crime_12.pdf,crime_11.pdf,Updated in latest report
June,2025,Murder,Total Murder,99,101,crime_12.pdf,crime_11.pdf,Updated in latest report
June,2025,Dacoity,Dacoity Cases,7,5,crime_12.pdf,crime_11.pdf,Updated in latest report
June,2025,Robbery,Chain Snatching,52,50,crime_12.pdf,crime_11.pdf,Updated in latest report
June,2025,Robbery,Robbery (Except Chain Snatching),45,46,crime_12.pdf,crime_11.pdf,Updated in latest report
June,2025,Robbery,Total Robbery,97,96,crime_12.pdf,crime_11.pdf,Updated in latest report
June,2025,Burglary,Burglary Night,315,319,crime_12.pdf,crime_11.pdf,Updated in latest report
June,2025,Burglary,Burglary Day,97,88,crime_12.pdf,crime_11.pdf,Updated in latest report
June,2025,Burglary,Total,412,407,crime_12.pdf,crime_11.pdf,Updated in latest report
June,2025,Theft,Reported,1684,1664,crime_12.pdf,crime_11.pdf,Updated in latest report
June,2025,Riots,Riots,352,358,crime_12.pdf,crime_11.pdf,Updated in latest report
June,2025,Special & Local Laws,Special & Local Laws,6800,6848,crime_12.pdf,crime_11.pdf,Updated in latest report
June,2025,Crime against Women,Rape,78,79,crime_12.pdf,crime_11.pdf,Updated in latest report
June,2025,POCSO,POCSO,309,347,crime_12.pdf,crime_11.pdf,Updated in latest report
June,2025,SC/ST POA Act,SC/ST POA Act,190,192,crime_12.pdf,crime_11.pdf,Updated in latest report
June,2025,Cyber Crimes,Cyber Crimes,1246,1248,crime_12.pdf,crime_11.pdf,Updated in latest report
June,2025,Economic Offences,Economic Offences,524,512,crime_12.pdf,crime_11.pdf,Updated in latest report
June,2025,MMDR & KMMCR,MMDR Act,11,14,crime_12.pdf,crime_11.pdf,Updated in latest report
July,2025,Murder,Murder for gain,1,3,crime_13.pdf,crime_12.pdf,Updated in latest report
July,2025,Murder,Other Murders,81,82,crime_13.pdf,crime_12.pdf,Updated in latest report
July,2025,Murder,Total Murder,82,85,crime_13.pdf,crime_12.pdf,Updated in latest report
July,2025,Robbery,Chain Snatching,40,42,crime_13.pdf,crime_12.pdf,Updated in latest report
