Month,Year,Crime_Category,Subcategory,Old_Cases,New_Cases,Kept_Source_File,Removed_Source_File,Resolution_Reason
June,2023,Theft,Reported,2404 | 2422,2420,crime_37.pdf,crime_23.pdf | crime_36.pdf,Updated in latest report
June,2023,Riots,Riots,382 | 372,372,crime_37.pdf,crime_23.pdf | crime_36.pdf,Updated in latest report
June,2023,Hurt,Cases of Hurt,1593 | 1596,1595,crime_37.pdf,crime_23.pdf | crime_36.pdf,Updated in latest report
June,2023,Special & Local Laws,Special & Local Laws,6857 | 6752,6793,crime_37.pdf,crime_23.pdf | crime_36.pdf,Updated in latest report
June,2023,Crime against Women,Rape,67,66,crime_37.pdf,crime_23.pdf | crime_36.pdf,Updated in latest report
June,2023,POCSO,POCSO,336 | 281,314,crime_37.pdf,crime_23.pdf | crime_36.pdf,Updated in latest report
June,2023,SC/ST POA Act,SC/ST POA Act,202 | 192,195,crime_37.pdf,crime_23.pdf | crime_36.pdf,Updated in latest report
June,2023,Economic Offences,Economic Offences,666 | 665,663,crime_37.pdf,crime_23.pdf | crime_36.pdf,Updated in latest report
June,2023,MMDR & KMMCR,MMDR Act,17 | 11,12,crime_37.pdf,crime_23.pdf | crime_36.pdf,Updated in latest report
June,2023,MMDR & KMMCR,KMMC Rules,17 | 12,12,crime_37.pdf,crime_23.pdf | crime_36.pdf,Updated in latest report
June,2023,NDPS Cases,NDPS Cases,1290,1291,crime_37.pdf,crime_23.pdf | crime_36.pdf,Updated in latest report
June,2023,Cyber Crimes,Cyber Crimes,1759,1760,crime_37.pdf,crime_36.pdf,Updated in latest report
July,2023,Murder,Other Murders,113 | 114,114,crime_38.pdf,crime_24.pdf | crime_37.pdf,Updated in latest report
July,2023,Murder,Total Murder,113 | 114,114,crime_38.pdf,crime_24.pdf | crime_37.pdf,Updated in latest report
July,2023,Dacoity,Dacoity Cases,13 | 9,13,crime_38.pdf,crime_24.pdf | crime_37.pdf,Updated in latest report
July,2023,Robbery,Chain Snatching,48 | 49,48,crime_38.pdf,crime_24.pdf | crime_37.pdf,Updated in latest report
July,2023,Robbery,Robbery (Except Chain Snatching),161 | 163,164,crime_38.pdf,crime_24.pdf | crime_37.pdf,Updated in latest report
July,2023,Robbery,Total Robbery,209 | 212,212,crime_38.pdf,crime_24.pdf | crime_37.pdf,Updated in latest report
July,2023,Burglary,Burglary Night,477 | 470,469,crime_38.pdf,crime_24.pdf | crime_37.pdf,Updated in latest report
July,2023,Burglary,Burglary Day,135 | 136,137,crime_38.pdf,crime_24.pdf | crime_37.pdf,Updated in latest report
July,2023,Burglary,Total,612 | 606,606,crime_38.pdf,crime_24.pdf | crime_37.pdf,Updated in latest report
July,2023,Theft,Reported,2765 | 2774,2776,crime_38.pdf,crime_24.pdf | crime_37.pdf,Updated in latest report
July,2023,Riots,Riots,317 | 312,315,crime_38.pdf,crime_24.pdf | crime_37.pdf,Updated in latest report
July,2023,Hurt,Cases of Hurt,1467 | 1443,1443,crime_38.pdf,crime_24.pdf | crime_37.pdf,Updated in latest report
July,2023,Special & Local Laws,Special & Local Laws,6105 | 6042,6074,crime_38.pdf,crime_24.pdf | crime_37.pdf,Updated in latest report
July,2023,Crime against Women,Rape,47 | 48,48,crime_38.pdf,crime_24.pdf | crime_37.pdf,Updated in latest report
July,2023,Crime against Women,Dowry Death,16 | 15,16,crime_38.pdf,crime_24.pdf | crime_37.pdf,Updated in latest report
July,2023,POCSO,POCSO,339 | 308,326,crime_38.pdf,crime_24.pdf | crime_37.pdf,Updated in latest report
July,2023,SC/ST POA Act,SC/ST POA Act,202,207,crime_38.pdf,crime_24.pdf | crime_37.pdf,Updated in latest report
July,2023,Cyber Crimes,Cyber Crimes,2079 | 2067,2072,crime_38.pdf,crime_24.pdf | crime_37.pdf,Updated in latest report
July,2023,Economic Offences,Economic Offences,833 | 843,835,crime_38.pdf,crime_24.pdf | crime_37.pdf,Updated in latest report
July,2023,Motor Vehicles Theft,Motor Vehicles Theft Cases,1463 | 1464,1464,crime_38.pdf,crime_24.pdf | crime_37.pdf,Updated in latest report
July,2023,NDPS Cases,NDPS Cases,819 | 818,818,crime_38.pdf,crime_24.pdf | crime_37.pdf,Updated in latest report
August,2023,Murder,Murder for gain,2 | 1,2,crime_39.pdf,crime_25.pdf | crime_38.pdf,Updated in latest report
August,2023,Murder,Other Murders,98 | 101,100,crime_39.pdf,crime_25.pdf | crime_38.pdf,Updated in latest report
August,2023,Murder,Total Murder,100 | 102,102,crime_39.pdf,crime_25.pdf | crime_38.pdf,Updated in latest report
August,2023,Dacoity,Dacoity Cases,20 | 16,17,crime_39.pdf,crime_25.pdf | crime_38.pdf,Updated in latest report
August,2023,Robbery,Chain Snatching,44 | 42,43,crime_39.pdf,crime_25.pdf | crime_38.pdf,Updated in latest report
August,2023,Robbery,Robbery (Except Chain Snatching),147 | 155,155,crime_39.pdf,crime_25.pdf | crime_38.pdf,Updated in latest report
August,2023,Robbery,Total Robbery,191 | 197,198,crime_39.pdf,crime_25.pdf | crime_38.pdf,Updated in latest report
August,2023,Burglary,Burglary Night,512 | 501,504,crime_39.pdf,crime_25.pdf | crime_38.pdf,Updated in latest report
August,2023,Burglary,Burglary Day,135 | 136,136,crime_39.pdf,crime_25.pdf | crime_38.pdf,Updated in latest report
August,2023,Burglary,Total,647 | 637,640,crime_39.pdf,crime_25.pdf | crime_38.pdf,Updated in latest report
August,2023,Theft,Reported,2862 | 2870,2868,crime_39.pdf,crime_25.pdf | crime_38.pdf,Updated in latest report
August,2023,Hurt,Cases of Hurt,1630 | 1614,1611,crime_39.pdf,crime_25.pdf | crime_38.pdf,Updated in latest report
August,2023,Special & Local Laws,Special & Local Laws,6748 | 6661,6692,crime_39.pdf,crime_25.pdf | crime_38.pdf,Updated in latest report
August,2023,Crime against Women,Rape,54 | 51,51,crime_39.pdf,crime_25.pdf | crime_38.pdf,Updated in latest report
August,2023,POCSO,POCSO,399 | 353,377,crime_39.pdf,crime_25.pdf | crime_38.pdf,Updated in latest report
August,2023,SC/ST POA Act,SC/ST POA Act,208 | 213,211,crime_39.pdf,crime_25.pdf | crime_38.pdf,Updated in latest report
August,2023,Cyber Crimes,Cyber Crimes,2202 | 2196,2196,crime_39.pdf,crime_25.pdf | crime_38.pdf,Updated in latest report
August,2023,Economic Offences,Economic Offences,778 | 783,782,crime_39.pdf,crime_25.pdf | crime_38.pdf,Updated in latest report
August,2023,MMDR & KMMCR,MMDR Act,15 | 13,13,crime_39.pdf,crime_25.pdf | crime_38.pdf,Updated in latest report
August,2023,MMDR & KMMCR,KMMC Rules,5 | 4,4,crime_39.pdf,crime_25.pdf | crime_38.pdf,Updated in latest report
August,2023,Motor Vehicles Theft,Motor Vehicles Theft Cases,1506 | 1505,1504,crime_39.pdf,crime_25.pdf | crime_38.pdf,Updated in latest report
August,2023,NDPS Cases,NDPS Cases,725 | 721,723,crime_39.pdf,crime_25.pdf | crime_38.pdf,Updated in latest report
September,2023,Murder,Other Murders,91 | 90,93,crime_40.pdf,crime_26.pdf | crime_39.pdf,Updated in latest report
September,2023,Murder,Total Murder,91 | 90,93,crime_40.pdf,crime_26.pdf | crime_39.pdf,Updated in latest report
September,2023,Dacoity,Dacoity Cases,22 | 20,23,crime_40.pdf,crime_26.pdf | crime_39.pdf,Updated in latest report
September,2023,Robbery,Chain Snatching,52 | 54,51,crime_40.pdf,crime_26.pdf | crime_39.pdf,Updated in latest report
September,2023,Robbery,Robbery (Except Chain Snatching),117 | 116,119,crime_40.pdf,crime_26.pdf | crime_39.pdf,Updated in latest report
September,2023,Robbery,Total Robbery,169 | 170,170,crime_40.pdf,crime_26.pdf | crime_39.pdf,Updated in latest report
September,2023,Burglary,Burglary Night,415,409,crime_39.pdf,crime_26.pdf,Updated in latest report
September,2023,Burglary,Burglary Day,97,101,crime_39.pdf,crime_26.pdf,Updated in latest report
September,2023,Burglary,Total,512,510,crime_39.pdf,crime_26.pdf,Updated in latest report
September,2023,Riots,Riots,332,328,crime_40.pdf,crime_26.pdf | crime_39.pdf,Updated in latest report
September,2023,Hurt,Cases of Hurt,1593 | 1573,1577,crime_40.pdf,crime_26.pdf | crime_39.pdf,Updated in latest report
September,2023,Special & Local Laws,Special & Local Laws,6024 | 5950,5978,crime_40.pdf,crime_26.pdf | crime_39.pdf,Updated in latest report
September,2023,Crime against Women,Rape,49 | 51,52,crime_40.pdf,crime_26.pdf | crime_39.pdf,Updated in latest report
September,2023,Crime against Women,Dowry Death,23 | 22,22,crime_40.pdf,crime_26.pdf | crime_39.pdf,Updated in latest report
September,2023,POCSO,POCSO,322 | 269,291,crime_40.pdf,crime_26.pdf | crime_39.pdf,Updated in latest report
