2026-07-08 15:06:05,106 - PDF name: crime 10.pdf | Page number: 42 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:05,200 - PDF name: crime 10.pdf | Page number: 43 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:05,280 - PDF name: crime 10.pdf | Page number: 44 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:05,792 - PDF name: crime 10.pdf | Page number: 45 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:06,213 - PDF name: crime 10.pdf | Page number: 46 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:06,291 - PDF name: crime 10.pdf | Page number: 47 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:06,364 - PDF name: crime 10.pdf | Page number: 48 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:06,408 - PDF name: crime 10.pdf | Page number: 49 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:06,457 - PDF name: crime 10.pdf | Page number: 50 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:06,483 - PDF name: crime 10.pdf | Page number: 51 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:06,547 - PDF name: crime 10.pdf | Page number: 52 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:06,654 - PDF name: crime 10.pdf | Page number: 53 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:06,871 - PDF name: crime 11.pdf | Page number: 2 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:06,925 - PDF name: crime 11.pdf | Page number: 3 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:06,969 - PDF name: crime 11.pdf | Page number: 4 | Tables extracted: 2 | Success | Error message: None
2026-07-08 15:06:07,014 - PDF name: crime 11.pdf | Page number: 5 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:07,047 - PDF name: crime 11.pdf | Page number: 6 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:07,077 - PDF name: crime 11.pdf | Page number: 7 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:07,111 - PDF name: crime 11.pdf | Page number: 8 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:07,144 - PDF name: crime 11.pdf | Page number: 9 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:07,174 - PDF name: crime 11.pdf | Page number: 10 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:07,220 - PDF name: crime 11.pdf | Page number: 11 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:07,250 - PDF name: crime 11.pdf | Page number: 12 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:07,280 - PDF name: crime 11.pdf | Page number: 13 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:07,572 - PDF name: crime 11.pdf | Page number: 14 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:07,602 - PDF name: crime 11.pdf | Page number: 15 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:07,635 - PDF name: crime 11.pdf | Page number: 16 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:07,677 - PDF name: crime 11.pdf | Page number: 17 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:07,710 - PDF name: crime 11.pdf | Page number: 18 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:07,747 - PDF name: crime 11.pdf | Page number: 19 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:08,065 - PDF name: crime 11.pdf | Page number: 20 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:08,167 - PDF name: crime 11.pdf | Page number: 21 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:08,297 - PDF name: crime 11.pdf | Page number: 22 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:08,424 - PDF name: crime 11.pdf | Page number: 23 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:08,543 - PDF name: crime 11.pdf | Page number: 24 | Tables extracted: 1 | Success | Error message: None
