DISTRICT-WISE REPORTED CASES UNDER VARIOUS HEADS FOR THE MONTH OF JANUARY - 2023 (AS ON 9/02/2023),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sl.
No.",Crime Head,"ot
k
al
g
a
B","ari
all
B","y
Cit
vi
a
g
a
el
B","Dist
vi
a
g
a
el
B","y
cit
u
ur
al
g
n
e
B","District
u
ur
al
g
n
e
B","ar
d
Bi","ar
g
a
n
a
aj
ar
m
a
h
C","a
ur
p
a
all
b
k
hic
C","u
ur
al
g
a
m
a
k
k
hi
C","a
g
ur
d
a
hitr
C","a
d
a
n
n
a
k
a
n
hi
ks
a
D","e
er
g
a
n
a
v
a
D","d
a
w
ar
h
D","g
a
d
a
G","n
a
ass
H","eri
v
a
H","y
Cit
d
a
w
ar
h
D
alli
b
b
u
H","F
G.
K.","gi
a
ur
b
a
al
K","y
Cit
gi
a
ur
b
a
al
K","ys
a
w
ail
R
a
k
a
at
n
ar
K","u
g
a
d
o
K","ar
ol
K","al
p
p
o
K","a
y
d
n
a
M","y
Cit
u
or
o
al
g
n
a
M","y
Cit
u
ur
ys
M","District
u
ur
ys
M","ur
h
aic
R","a
ar
g
a
n
a
m
a
R","a
g
g
o
m
a
v
hi
S","u
ur
k
a
m
u
T","pi
u
d
U","a
d
a
n
n
a
k
a
ar
Utt","a
ar
g
a
n
a
y
a
Vij","ur
p
a
y
a
Vij","gir
d
a
Y","al
ot
T"
9a,RAPE,0,0,0,2,6,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,2,1,1,3,1,0,1,0,1,0,1,0,3,0,29
9b,DOWRY DEATHS,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5
10,POCSO,3,4,1,6,36,6,0,5,11,9,6,9,8,3,4,8,2,4,2,2,0,0,6,0,4,6,6,4,9,3,6,14,5,2,6,2,5,2,209
11,SC ST & POA Act,1,3,2,3,6,7,3,3,3,15,2,0,7,4,6,7,4,3,1,3,3,0,3,2,2,5,6,4,3,5,5,5,7,2,5,4,5,3,152
12a,107 Cr.P.C.,155,255,8,163,12,9,102,154,12,247,30,19,111,40,32,33,33,15,6,84,15,0,269,3,32,19,61,5,29,94,13,138,26,33,40,66,94,34,2491
12b,109 Cr.P.C.,9,3,7,9,12,8,6,1,3,2,1,1,2,4,3,5,3,6,1,2,5,6,0,2,14,5,1,2,6,9,1,4,6,1,2,3,11,0,166
12c,110 Cr.P.C.,9,4,5,13,183,51,31,28,11,0,0,27,0,2,3,2,6,141,4,6,5,2,8,25,5,12,59,75,1,5,27,0,175,35,2,127,48,1,1138
13,CYBER CRIME,4,5,7,11,1077,31,1,2,12,6,11,4,1,2,5,5,8,36,6,2,2,0,1,6,0,6,4,12,3,0,14,3,15,11,7,0,5,0,1325
14a,Cr. Br. of Trust,0,0,0,0,16,3,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,1,0,3,1,0,1,35
14b,CHEATING,5,7,7,11,243,34,5,2,12,9,9,3,12,5,3,11,2,4,2,5,8,0,6,9,2,7,6,11,7,4,14,21,12,11,1,3,1,6,520
14c,COUNTERFEITING,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3
15,KMMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,4
15a,MMDR,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,8
16,"Motor vehicles
Theft Cases",8,8,15,28,379,73,15,6,13,11,2,0,29,3,0,13,16,20,4,6,40,5,0,15,9,22,4,26,13,20,23,11,33,7,4,9,10,2,902
17,NDPS Cases,0,1,1,0,217,12,2,0,2,26,0,1,2,0,3,1,1,5,1,0,5,5,3,0,0,2,23,3,0,1,11,12,0,18,2,1,1,0,362
