"Comparitive Crime Statement 17 for the Years 2024, 2025, and 2026",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KARNATAKA STATE,2024,,,,,,,,,,,,,2025,,,,,,,,,,,,,2026 As on 31/03/2026,,,,,,,,,,,,
Head Name,Rep,Fal,Tr,Tru,NI,Con,Dis/,Com,PT,UI,Un,OD,AB,Rep,Fal,Tr,Tru,NI,Con,Dis/,Com,PT,UI,Un,OD,AB,Rep,Fal,Tr,Tru,NI,Con,Dis/,Com,PT,UI,Un,OD,AB
House theft,1927,102,8,1817,0,10,16,8,585,24,1171,3,0,1927,91,2,1834,0,1,10,5,423,544,850,1,0,516,7,0,509,0,0,0,0,22,482,5,0,
Snatching (Sec 304 BNS),236,4,5,227,0,0,2,0,98,4,123,0,0,547,4,2,541,0,1,1,1,213,133,192,0,0,121,0,1,120,0,0,0,0,6,114,0,0,
Ordinary Theft,20165,868,324,18973,0,554,283,2064,4280,158,11493,118,23,17500,606,131,16763,0,267,74,957,4063,3695,7667,37,3,4298,44,5,4249,0,3,0,12,216,3964,54,0,
Cattle thefts,505,6,2,497,0,12,9,41,219,5,207,4,0,544,12,0,532,0,5,1,16,161,159,187,3,0,156,0,0,156,0,0,0,0,7,149,0,0,
Receiving stolen Property,2,0,0,2,0,1,0,0,1,0,0,0,0,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cheating,6558,1931,121,4506,0,11,28,72,2185,1408,673,123,6,5841,753,79,5009,0,50,4,20,1100,3520,272,41,2,1353,11,7,1335,0,20,0,0,34,1281,0,0,
Cr.Br.Trust,564,144,14,406,0,0,1,2,231,143,17,10,2,759,93,6,660,0,0,0,1,133,503,15,7,1,240,3,0,237,0,0,0,0,1,236,0,0,
C.C.Notes,30,0,0,30,0,0,0,0,17,4,9,0,0,30,1,1,28,0,0,0,0,13,10,5,0,0,6,0,0,6,0,0,0,0,0,6,0,0,
Sub Total - PART-I,41374,3409,532,37433,0,668,642,2210,14437,1986,17087,297,106,38002,1789,257,35956,0,338,139,1004,11608,11817,10882,115,53,9441,69,19,9353,0,23,0,12,395,8851,70,1,
PART-II (IPC/BNS Cases),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"304(A),IPC/ 106 BNS (Including Deaths
due to Rashness/Negligence (Sec
304(A)IPC/106 BNS)",12031,126,16,11889,0,535,577,11,8341,32,927,22,1444,11882,73,16,11793,0,216,65,1,8353,1640,517,13,988,3113,4,1,3108,0,2,1,0,281,2802,0,1,
"279,337,338IPC/281,125(a),125(b)BNS",31407,222,14,31171,0,19247,455,335,9634,26,1281,111,82,31599,161,18,31420,0,11553,94,78,16065,2515,1025,57,33,8233,7,1,8225,0,154,2,2,1293,6762,11,1,
Rioting,3471,354,4,3113,0,22,271,44,2673,65,31,5,2,3410,246,2,3162,0,7,44,8,2227,857,12,7,0,917,9,2,906,0,0,0,0,52,854,0,0,
Hurts,17142,1333,31,15778,0,192,1775,415,12830,142,313,81,30,16719,919,20,15780,1,49,301,163,12525,2515,193,27,7,4643,42,4,4597,0,1,1,1,623,3965,5,1,
AcidAttack (326(a)IPC/124(1) BNS),8,1,0,7,0,0,0,0,7,0,0,0,0,6,0,0,6,0,0,0,0,6,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,
Kidnapping,3948,3550,38,360,0,1,28,1,205,99,18,7,1,4087,3439,28,620,0,0,6,0,156,444,5,7,1,1124,354,2,768,0,0,0,0,3,765,0,0,
304(B) IPC/80 BNS,112,0,2,110,0,0,7,0,102,1,0,0,0,114,3,1,110,0,0,0,0,101,8,0,0,1,36,0,0,36,0,0,0,0,2,34,0,0,
498 (A) IPC/85 BNS,2894,268,59,2567,0,7,330,11,2104,59,1,36,19,2755,203,25,2527,0,1,54,4,2029,429,0,8,2,676,9,1,666,0,0,0,0,69,597,0,0,
Molestation (354 IPC/74 BNS),6333,712,33,5588,1,28,469,47,4793,128,74,37,12,5851,526,17,5308,0,4,46,10,4066,1127,35,15,5,1608,16,4,1588,0,0,0,0,126,1461,0,1,
Rape,689,54,51,584,0,3,63,1,473,26,1,16,1,628,39,24,565,0,1,9,1,470,69,1,13,1,137,1,2,134,0,0,0,0,14,120,0,0,
"Sexual Intercourse by employing
deceitful means",12,1,0,11,0,0,0,0,6,4,0,1,0,256,18,9,229,0,0,0,0,132,87,0,10,0,107,1,1,105,0,0,0,0,4,101,0,0,
353 IPC/132 BNS,977,38,3,936,0,19,19,1,816,45,19,12,5,1164,32,5,1127,0,11,1,2,802,298,6,5,2,246,0,1,245,0,0,0,0,15,230,0,0,
Other IPC/BNS,16470,1770,110,14590,0,5214,396,311,7005,729,771,109,55,22061,1259,82,20720,0,7280,103,154,8686,3950,461,62,24,4995,31,10,4954,0,398,0,5,1070,3480,1,0,
Sub Total - PART-II,95429,8426,361,86642,1,25267,4378,1177,48937,1356,3436,440,1651,100455,6920,255,93280,1,19122,724,421,55542,13930,2255,221,1064,25810,474,29,25307,0,555,4,8,3550,21148,17,4,
