DISTRICT-WISE REPORTED CASES UNDER VARIOUS HEADS FOR THE MONTH OF AUGUST - 2025 (AS ON 01/09/2025),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sl.
No.",Crime Head,"ot
k
al
ag
B","ari
all
B","City
avi
ag
el
B","Dist
avi
ag
el
B","city
u
ur
al
ng
e
B","District
u
ur
al
ng
e
B","h
ut
o
S
u
ur
al
ng
e
B","ar
d
Bi","ar
ag
n
a
aj
ar
m
a
h
C","a
ur
p
a
all
b
k
hic
C","u
ur
al
ag
m
a
kk
hi
C","a
g
ur
d
a
hitr
C","a
d
a
n
n
a
k
a
n
hi
ks
a
D","e
er
ag
n
a
av
D","d
a
w
ar
h
D","ag
d
a
G","n
a
ass
H","eri
av
H","City
d
a
w
ar
h
D
alli
b
b
u
H","G.F
K.","agi
ur
b
a
al
K","City
agi
ur
b
a
al
K","ays
w
ail
R
a
k
a
at
n
ar
K","u
ag
d
o
K","ar
ol
K","al
p
p
o
K","a
dy
n
a
M","City
u
or
o
al
ng
a
M","City
u
ur
Mys","District
u
ur
Mys","ur
h
aic
R","a
g
g
o
m
a
v
hi
S","u
ur
k
a
m
u
T","pi
u
d
U","a
d
a
n
n
a
k
a
ar
Utt","a
ar
ag
n
a
ay
Vij","ur
p
a
ay
Vij","dgir
a
Y","al
ot
T"
10,POCSO,6,8,5,20,44,7,10,2,3,7,19,4,8,12,4,0,13,10,2,4,8,0,0,10,7,6,10,5,5,10,4,24,14,1,10,9,9,12,332
11,SC ST & POA Act,5,5,3,9,15,9,4,0,4,3,3,2,2,7,4,4,11,3,1,1,0,3,0,0,4,8,7,3,1,2,13,7,6,4,8,0,2,5,168
12a,"107 Cr.P.C./126
BNSS",101,108,111,144,67,215,78,82,61,27,148,27,468,61,50,57,39,24,111,60,52,72,0,101,36,283,216,78,26,108,261,140,42,17,180,122,68,29,3870
12b,"109 Cr.P.C/128
BNSS",8,6,5,7,27,13,2,4,2,8,7,2,2,3,4,1,30,2,10,0,7,5,30,0,7,12,1,0,2,5,9,3,48,3,8,4,7,5,299
12c,"110 Cr.P.C/129
BNSS",7,3,12,13,537,454,128,21,3,188,13,2,14,0,7,6,111,24,63,116,2,6,0,0,318,59,21,22,217,14,4,7,37,11,42,16,44,69,2611
13,"CYBER CRIME
(INFORMATION
TECHNOLOGY ACT)",5,9,5,9,862,30,23,7,3,27,8,8,15,10,7,4,11,5,23,6,3,4,3,6,8,1,14,14,17,5,2,16,28,25,4,3,33,1,1264
14a,Cr. Br. of Trust,1,0,1,1,29,2,3,1,0,0,0,0,1,2,0,0,2,0,1,0,2,1,0,0,0,1,0,3,4,2,1,2,1,1,0,0,1,0,63
14b,CHEATING,4,3,8,10,150,27,15,5,5,3,4,10,2,7,2,1,4,2,1,1,6,7,0,3,8,1,2,13,11,6,7,12,10,9,6,4,7,1,377
14c,COUNTERFEITING,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
15,KMMC,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4
15a,MMDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4
16,"Motor vehicles
Theft Cases",10,8,11,18,313,51,29,8,10,6,5,12,1,18,2,6,10,18,9,3,7,22,3,4,4,6,12,11,17,11,4,12,21,1,2,1,9,4,699
17,NDPS Cases,4,1,46,29,132,8,9,4,3,3,9,5,2,26,3,2,11,3,11,5,1,14,9,16,5,24,2,54,206,3,7,42,4,12,22,0,0,2,739
