DISTRICT-WISE REPORTED CASES UNDER VARIOUS HEADS FOR THE MONTH OF NOVEMBER - 2023 (AS ON 06/12/2023),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sl.
No.",Crime Head,"B
a
g
a
lk
o
t","B
a
lla
ri","B
e
la
g
a
v
i
C
ity","B
e
la
g
a
v
i
D
ist","B
e
n
g
a
lu
ru
city","B
e
n
g
a
lu
ru
D
istrict","B
id
a
r","C
h
a
m
a
ra
ja
n
a
g
a
r","C
h
ick
b
a
lla
p
u
ra","C
h
ik
k
a
m
a
g
a
lu
ru","C
h
itra
d
u
rg
a","D
a
k
sh
in
a
k
a
n
n
a
d
a","D
a
v
a
n
a
g
e
re","D
h
a
rw
a
d","G
a
d
a
g","H
a
ssa
n","H
a
v
e
ri","H
u
b
b
a
lli
D
h
a
rw
a
d
C
ity","K
.G
.F","K
a
la
b
u
ra
g
i","K
a
la
b
u
ra
g
i
C
ity","K
a
rn
a
ta
k
a
R
a
ilw
a
y
s","K
o
d
a
g
u","K
o
la
r","K
o
p
p
a
l","M
a
n
d
y
a","M
a
n
g
a
lo
o
ru
C
ity","M
y
su
ru
C
ity","M
y
su
ru
D
istrict","R
a
ich
u
r","R
a
m
a
n
a
g
a
ra","S
h
iv
a
m
o
g
g
a","T
u
m
a
k
u
ru","U
d
u
p
i","U
tta
ra
k
a
n
n
a
d
a","V
ija
y
a
n
a
g
a
ra","V
ija
y
a
p
u
r","Y
a
d
g
ir","T
o
ta
l"
9a,RAPE,0,1,0,2,13,4,0,0,0,0,1,2,1,0,3,2,1,0,0,1,0,1,0,1,1,1,1,1,0,0,3,3,2,0,2,1,3,0,51
9b,DOWRY DEATHS,1,0,0,0,2,4,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
10,POCSO,1,5,1,7,29,8,4,9,15,8,19,7,8,1,4,11,6,2,2,2,0,1,1,12,4,8,2,5,14,2,14,12,12,7,8,4,7,0,262
11,SC ST & POA Act,2,1,2,9,29,3,5,2,5,7,5,2,3,5,5,7,5,4,0,5,3,0,2,2,1,6,2,4,2,3,5,6,7,1,4,3,3,3,163
12a,107 Cr.P.C.,218,65,72,245,41,63,60,23,62,142,50,36,14,35,66,58,18,15,26,83,10,0,28,31,204,37,29,5,52,51,117,31,88,57,61,40,21,31,2285
12b,109 Cr.P.C.,8,5,17,10,38,8,4,2,6,17,4,0,2,3,3,9,3,18,5,2,10,7,0,2,5,6,0,2,5,7,9,4,135,0,1,2,5,0,364
12c,110 Cr.P.C.,9,1,4,8,237,61,5,0,26,19,0,67,12,6,9,38,3,29,30,8,3,1,1,74,0,35,14,12,1,6,2,2,166,20,7,15,21,4,956
13,CYBER CRIME,4,10,6,12,1650,76,3,5,25,7,4,4,18,3,7,7,17,34,16,3,1,0,7,10,3,5,18,26,4,7,16,8,27,7,4,1,9,1,2065
14a,Cr. Br. of Trust,1,1,0,1,18,1,2,1,0,1,1,0,3,0,0,0,2,2,0,1,0,0,0,2,1,1,0,3,0,0,1,3,0,1,0,0,0,0,47
14b,CHEATING,5,6,5,10,280,41,1,3,10,7,9,2,7,5,0,10,4,3,1,3,9,0,6,4,3,3,10,17,4,7,10,16,17,19,8,7,3,2,557
14c,COUNTERFEITING,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
15,KMMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2
15a,MMDR,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,2,0,0,1,0,0,9
16,"Motor vehicles
Theft Cases",17,27,19,23,472,98,10,9,18,12,16,7,36,6,7,33,29,11,3,6,15,8,0,15,6,21,6,17,19,13,32,12,35,3,11,8,20,3,1103
17,NDPS Cases,1,6,1,12,32,0,2,2,3,5,15,1,15,0,0,7,0,10,0,2,1,4,7,19,2,3,118,2,2,1,1,16,8,9,3,0,1,0,311
