DISTRICT-WISE REPORTED CASES UNDER VARIOUS HEADS FOR THE MONTH OF JANUARY - 2025 (AS ON 01/02/2025),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sl.
No.",Crime Head,"to
k
la
g
a
B","ira
lla
B","y
tiC
iv
a
g
a
le
B","tsiD
iv
a
g
a
le
B","y
tic
u
ru
la
g
n
e
B","tcirtsiD
u
ru
la
g
n
e
B","ra
d
iB","ra
g
a
n
a
ja
ra
m
a
h
C","a
ru
p
a
lla
b
k
cih
C","u
ru
la
g
a
m
a
k
k
ih
C","a
g
ru
d
a
rtih
C","a
d
a
n
n
a
k
a
n
ih
sk
a
D","e
re
g
a
n
a
v
a
D","d
a
w
ra
h
D","g
a
d
a
G","n
a
ssa
H","ire
v
a
H","y
tiC
d
a
w
ra
h
D
illa
b
b
u
H","F.G
.K","ig
a
ru
b
a
la
K","y
tiC
ig
a
ru
b
a
la
K","sy
a
w
lia
R
a
k
a
ta
n
ra
K","u
g
a
d
o
K","ra
lo
K","la
p
p
o
K","a
y
d
n
a
M","y
tiC
u
ro
o
la
g
n
a
M","y
tiC
u
ru
sy
M","tcirtsiD
u
ru
sy
M","ru
h
cia
R","a
ra
g
a
n
a
m
a
R","a
g
g
o
m
a
v
ih
S","u
ru
k
a
m
u
T","ip
u
d
U","a
d
a
n
n
a
k
a
ra
ttU","a
ra
g
a
n
a
y
a
jiV","ru
p
a
y
a
jiV","rig
d
a
Y","la
to
T"
9a,"RAPE (Sec.376,
376(A) to 376
(D) IPC/64 TO
71 BNS)",1,3,1,0,23,1,0,0,1,1,0,0,1,0,0,4,5,0,0,3,3,0,1,1,1,2,1,0,0,3,2,1,0,1,1,1,0,3,65
9b,DOWRY DEATHS,0,0,0,0,3,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,11
10,POCSO,5,7,1,10,39,9,5,3,14,14,10,11,4,2,5,13,11,4,1,10,2,0,10,8,1,10,4,5,12,6,4,16,13,3,7,12,9,4,304
11,SC ST & POA Act,6,2,3,9,22,3,4,3,3,6,5,1,2,0,3,11,4,6,0,5,4,0,2,1,5,2,3,0,6,15,1,10,6,8,1,1,5,4,172
12a,107 Cr.P.C.,32,27,85,89,39,10,64,11,13,32,41,19,13,46,44,44,35,11,3,50,15,0,9,7,69,19,45,11,23,45,18,46,51,183,31,43,68,27,1418
12b,109 Cr.P.C.,15,4,4,11,28,14,17,1,4,13,7,0,10,4,10,12,3,102,1,3,3,37,1,5,33,5,0,2,6,8,8,2,77,2,11,0,20,10,493
12c,110 Cr.P.C.,8,1,2,12,167,10,15,0,37,1,0,5,4,7,12,162,1,19,3,6,2,0,1,7,5,11,37,13,1,5,32,2,45,24,5,1,14,4,681
13,"CYBER CRIME
(INFORMATION
TECHNOLOGY ACT)",4,7,14,4,1057,47,2,1,20,7,3,3,11,6,5,8,13,20,1,2,6,0,6,1,1,6,9,17,5,1,13,15,19,17,11,3,26,10,1401
14a,Cr. Br. of Trust,0,0,0,1,28,2,1,0,0,0,0,0,3,0,0,1,0,0,1,0,0,0,0,1,0,1,2,0,2,0,1,2,2,1,3,0,0,0,52
14b,CHEATING,6,8,10,9,205,41,1,1,8,8,9,5,9,0,9,8,6,5,3,3,7,0,3,4,4,10,7,10,12,5,6,25,21,8,10,6,17,6,515
14c,COUNTERFEITING,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4
15,KMMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15a,MMDR,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5
16,"Motor vehicles
Theft Cases",9,9,17,31,392,81,6,2,12,8,23,4,19,3,8,12,22,7,4,3,29,6,2,7,7,16,4,17,21,19,24,25,14,4,5,4,17,7,900
17,NDPS Cases,3,0,3,5,27,7,1,9,5,13,4,1,23,2,2,6,2,4,5,2,122,5,3,3,0,10,62,3,3,2,15,17,44,7,5,1,0,2,428
